,case_id,client_id,attorney,issues,hours,resolved,setteled,settlement/award
0,2025,103,Perry Mason,"negligence, product liability",982,2018-01-20,,
1,2025,105,Atticus Finch,"negligence, product liability",1393,2018-01-20,,
2,2025,111,Daniel Kafee,negligence,269,2018-01-20,,
3,2025,122,Rachel Zane,"malpractice, product liability, negligence",861,2018-01-20,,
4,2025,129,Rusty Sabich,product liability,295,2018-01-22,Yes,75000.0
5,2025,130,Rachel Zane,"malpractice, product liability, negligence",447,2018-01-22,,
6,2025,131,JoAnee Galloway,negligence,479,2018-01-22,no,0
7,2025,133,Daniel Kafee,"negligence, product liability, malpractice",1040,2018-01-22,,
8,2025,134,Rachel Zane,malpractice,153,2018-01-22,,
9,2025,139,Patty Hewes,"malpractice, negligence, product liability",572,2018-01-31,no,0
10,2025,146,Rachel Zane,negligence,352,2018-01-31,,
11,2025,150,JoAnee Galloway,"negligence, malpractice",280,2017-12-31,Yes,12500.0
12,2025,151,Atticus Finch,negligence,496,2017-12-31,,
13,2025,155,Rachel Zane,"negligence, product liability",700,2017-12-31,,
14,2025,157,Daniel Kafee,product liability,614,2017-12-31,,
15,2025,159,Daniel Kafee,"product liability, negligence",696,2017-12-31,,
16,2025,160,Rusty Sabich,"negligence, product liability, malpractice",672,2018-01-25,Yes,75000.0
17,2025,161,Rusty Sabich,"negligence, malpractice",406,2018-01-25,,
18,2025,165,Patty Hewes,malpractice,158,2018-01-25,,
19,2025,167,Perry Mason,"malpractice, product liability, negligence",858,2018-01-25,,
20,2025,168,Daniel Kafee,product liability,452,2018-01-25,,
21,2025,172,Patty Hewes,"product liability, negligence, malpractice",427,2018-01-25,,
22,2025,173,Patty Hewes,"product liability, malpractice",395,2018-01-25,,
23,2025,175,Ally McBeal,product liability,308,2018-01-25,,
24,2025,180,JoAnee Galloway,"malpractice, negligence",622,2018-01-25,,
25,2025,182,Patty Hewes,"malpractice, negligence",202,2018-01-25,,
26,2025,183,Patty Hewes,malpractice,81,2018-01-16,Yes,12500.0
27,2025,187,Ally McBeal,"product liability, malpractice, negligence",1017,2018-01-16,,
28,2025,189,Daniel Kafee,malpractice,163,2018-01-16,,
29,2025,190,JoAnee Galloway,"malpractice, negligence",296,2018-01-17,Yes,20000.0
30,2025,195,Ally McBeal,"negligence, product liability",1278,2018-01-17,,
31,2025,196,Patty Hewes,negligence,339,2018-01-17,,
32,2025,197,JoAnee Galloway,"malpractice, negligence",169,2018-01-17,,
33,2025,201,JoAnee Galloway,"product liability, negligence",114,2018-01-17,,
34,2025,212,Daniel Kafee,"negligence, malpractice, product liability",787,2018-01-17,,
35,2025,215,Rachel Zane,negligence,227,2018-01-17,,
36,2025,218,Ally McBeal,"negligence, product liability, malpractice",553,2018-01-17,,
37,2025,222,Atticus Finch,malpractice,155,2018-01-17,,
38,2025,224,Rusty Sabich,negligence,281,2018-01-17,,
39,2025,225,Rusty Sabich,"negligence, product liability, malpractice",687,2018-01-17,,
40,2025,227,Atticus Finch,"negligence, malpractice",471,2018-01-17,,
41,2025,228,Daniel Kafee,"malpractice, negligence",162,2018-01-17,,
42,2025,229,Ally McBeal,"product liability, malpractice",571,2018-01-17,,
43,2025,230,Rusty Sabich,"malpractice, negligence",430,2018-01-17,,
44,2025,231,Ally McBeal,"malpractice, product liability",655,2018-01-17,,
45,2025,239,Patty Hewes,product liability,560,2018-01-17,,
46,2025,244,JoAnee Galloway,"product liability, negligence, malpractice",648,2018-01-17,,
47,2025,245,JoAnee Galloway,"product liability, malpractice",464,2018-01-17,,
48,2025,250,Patty Hewes,"product liability, negligence, malpractice",625,2018-01-17,,
49,2025,254,Perry Mason,"product liability, negligence",315,2018-01-17,,
50,2025,256,JoAnee Galloway,negligence,264,2018-01-17,,
51,2025,260,Patty Hewes,"product liability, negligence",382,2018-01-17,,
52,2025,265,Patty Hewes,"negligence, malpractice, product liability",467,2018-01-17,,
53,2025,269,Patty Hewes,"product liability, malpractice",397,2018-01-17,,
54,2025,273,Patty Hewes,"negligence, product liability, malpractice",842,2018-01-17,,
55,2025,277,Perry Mason,"product liability, malpractice",430,2018-01-17,,
56,2025,278,Rusty Sabich,"malpractice, negligence, product liability",427,2018-01-17,,
57,2025,279,Patty Hewes,"malpractice, product liability, negligence",580,2018-01-17,,
58,2025,280,Rusty Sabich,"product liability, malpractice, negligence",498,2018-01-17,,
59,2025,285,Atticus Finch,product liability,720,2018-01-17,,
60,2025,289,Rachel Zane,"malpractice, negligence",411,2018-01-17,,
61,2025,294,Rusty Sabich,"negligence, malpractice",273,2018-01-17,,
62,2025,298,JoAnee Galloway,"product liability, negligence",419,2018-01-17,,
